"year","cites","pubid"
2025,0,"5nxA0vEk-isC"
2026,1,"5nxA0vEk-isC"
2015,1,"oXKBmVzQOggC"
2016,0,"oXKBmVzQOggC"
2017,1,"oXKBmVzQOggC"
2018,3,"oXKBmVzQOggC"
2019,3,"oXKBmVzQOggC"
2020,1,"oXKBmVzQOggC"
2021,1,"oXKBmVzQOggC"
2022,0,"oXKBmVzQOggC"
2023,0,"oXKBmVzQOggC"
2024,0,"oXKBmVzQOggC"
2025,2,"oXKBmVzQOggC"
2026,2,"oXKBmVzQOggC"
1999,5,"YFjsv_pBGBYC"
2000,1,"YFjsv_pBGBYC"
2001,1,"YFjsv_pBGBYC"
2002,1,"YFjsv_pBGBYC"
2003,0,"YFjsv_pBGBYC"
2004,1,"YFjsv_pBGBYC"
2005,1,"YFjsv_pBGBYC"
2006,0,"YFjsv_pBGBYC"
2007,0,"YFjsv_pBGBYC"
2008,1,"YFjsv_pBGBYC"
2009,0,"YFjsv_pBGBYC"
2010,0,"YFjsv_pBGBYC"
2011,0,"YFjsv_pBGBYC"
2012,0,"YFjsv_pBGBYC"
2013,0,"YFjsv_pBGBYC"
2014,1,"YFjsv_pBGBYC"
2015,0,"YFjsv_pBGBYC"
2016,0,"YFjsv_pBGBYC"
2017,0,"YFjsv_pBGBYC"
2018,0,"YFjsv_pBGBYC"
2019,0,"YFjsv_pBGBYC"
2020,0,"YFjsv_pBGBYC"
2021,1,"YFjsv_pBGBYC"
2022,0,"YFjsv_pBGBYC"
2023,1,"YFjsv_pBGBYC"
2012,1,"MqTxh1vmwXEC"
2013,1,"MqTxh1vmwXEC"
2014,2,"MqTxh1vmwXEC"
2015,2,"MqTxh1vmwXEC"
2016,2,"MqTxh1vmwXEC"
2017,0,"MqTxh1vmwXEC"
2018,1,"MqTxh1vmwXEC"
2019,0,"MqTxh1vmwXEC"
2020,1,"MqTxh1vmwXEC"
2021,2,"MqTxh1vmwXEC"
2022,0,"MqTxh1vmwXEC"
2023,1,"MqTxh1vmwXEC"
2002,1,"8k81kl-MbHgC"
2003,0,"8k81kl-MbHgC"
2004,0,"8k81kl-MbHgC"
2005,0,"8k81kl-MbHgC"
2006,0,"8k81kl-MbHgC"
2007,0,"8k81kl-MbHgC"
2008,0,"8k81kl-MbHgC"
2009,0,"8k81kl-MbHgC"
2010,0,"8k81kl-MbHgC"
2011,1,"8k81kl-MbHgC"
2012,0,"8k81kl-MbHgC"
2013,4,"8k81kl-MbHgC"
2014,2,"8k81kl-MbHgC"
2015,0,"8k81kl-MbHgC"
2016,1,"8k81kl-MbHgC"
2017,0,"8k81kl-MbHgC"
2018,1,"8k81kl-MbHgC"
2019,0,"8k81kl-MbHgC"
2020,0,"8k81kl-MbHgC"
2021,1,"8k81kl-MbHgC"
2022,0,"8k81kl-MbHgC"
2023,0,"8k81kl-MbHgC"
2024,1,"8k81kl-MbHgC"
2011,2,"4uoR24qA-WYC"
2012,1,"4uoR24qA-WYC"
2013,0,"4uoR24qA-WYC"
2014,1,"4uoR24qA-WYC"
2015,0,"4uoR24qA-WYC"
2016,0,"4uoR24qA-WYC"
2017,1,"4uoR24qA-WYC"
2018,2,"4uoR24qA-WYC"
2019,0,"4uoR24qA-WYC"
2020,0,"4uoR24qA-WYC"
2021,1,"4uoR24qA-WYC"
2022,1,"4uoR24qA-WYC"
2023,1,"4uoR24qA-WYC"
2024,1,"4uoR24qA-WYC"
2007,1,"0EnyYjriUFMC"
2008,2,"0EnyYjriUFMC"
2009,0,"0EnyYjriUFMC"
2010,0,"0EnyYjriUFMC"
2011,0,"0EnyYjriUFMC"
2012,1,"0EnyYjriUFMC"
2013,0,"0EnyYjriUFMC"
2014,0,"0EnyYjriUFMC"
2015,0,"0EnyYjriUFMC"
2016,1,"0EnyYjriUFMC"
2017,0,"0EnyYjriUFMC"
2018,0,"0EnyYjriUFMC"
2019,0,"0EnyYjriUFMC"
2020,0,"0EnyYjriUFMC"
2021,2,"0EnyYjriUFMC"
2022,0,"0EnyYjriUFMC"
2023,2,"0EnyYjriUFMC"
2024,1,"0EnyYjriUFMC"
2025,1,"0EnyYjriUFMC"
2024,2,"fc7zyzPI2QAC"
2025,6,"fc7zyzPI2QAC"
2026,2,"fc7zyzPI2QAC"
2021,1,"RgMnzfD6kpIC"
2022,5,"RgMnzfD6kpIC"
2023,2,"RgMnzfD6kpIC"
2024,1,"RgMnzfD6kpIC"
2025,1,"RgMnzfD6kpIC"
2018,2,"h9G0ZmjYpDoC"
2019,1,"h9G0ZmjYpDoC"
2020,0,"h9G0ZmjYpDoC"
2021,1,"h9G0ZmjYpDoC"
2022,2,"h9G0ZmjYpDoC"
2023,4,"h9G0ZmjYpDoC"
2007,2,"IjCSPb-OGe4C"
2008,2,"IjCSPb-OGe4C"
2009,3,"IjCSPb-OGe4C"
2010,1,"IjCSPb-OGe4C"
2011,0,"IjCSPb-OGe4C"
2012,0,"IjCSPb-OGe4C"
2013,0,"IjCSPb-OGe4C"
2014,1,"IjCSPb-OGe4C"
2015,0,"IjCSPb-OGe4C"
2016,1,"IjCSPb-OGe4C"
2023,2,"o0eFlWRwRSUC"
2024,1,"o0eFlWRwRSUC"
2025,2,"o0eFlWRwRSUC"
2026,3,"o0eFlWRwRSUC"
2011,1,"0urtJCGzaFQC"
2012,2,"0urtJCGzaFQC"
2013,2,"0urtJCGzaFQC"
2014,1,"0urtJCGzaFQC"
2015,1,"0urtJCGzaFQC"
2016,0,"0urtJCGzaFQC"
2017,0,"0urtJCGzaFQC"
2018,0,"0urtJCGzaFQC"
2019,0,"0urtJCGzaFQC"
2020,0,"0urtJCGzaFQC"
2021,0,"0urtJCGzaFQC"
2022,0,"0urtJCGzaFQC"
2023,0,"0urtJCGzaFQC"
2024,0,"0urtJCGzaFQC"
2025,1,"0urtJCGzaFQC"
2006,1,"_FxGoFyzp5QC"
2007,2,"_FxGoFyzp5QC"
2008,0,"_FxGoFyzp5QC"
2009,3,"_FxGoFyzp5QC"
2010,0,"_FxGoFyzp5QC"
2011,0,"_FxGoFyzp5QC"
2012,0,"_FxGoFyzp5QC"
2013,0,"_FxGoFyzp5QC"
2014,1,"_FxGoFyzp5QC"
2015,1,"_FxGoFyzp5QC"
2011,1,"kQqwFFzsCTwC"
2012,2,"kQqwFFzsCTwC"
2013,1,"kQqwFFzsCTwC"
2014,1,"kQqwFFzsCTwC"
2015,0,"kQqwFFzsCTwC"
2016,0,"kQqwFFzsCTwC"
2017,1,"kQqwFFzsCTwC"
2018,0,"kQqwFFzsCTwC"
2019,0,"kQqwFFzsCTwC"
2020,0,"kQqwFFzsCTwC"
2021,2,"kQqwFFzsCTwC"
2024,2,"uGrg30pLAbkC"
2025,3,"uGrg30pLAbkC"
2026,2,"uGrg30pLAbkC"
2008,1,"ufrVoPGSRksC"
2009,4,"ufrVoPGSRksC"
2010,0,"ufrVoPGSRksC"
2011,0,"ufrVoPGSRksC"
2012,0,"ufrVoPGSRksC"
2013,0,"ufrVoPGSRksC"
2014,0,"ufrVoPGSRksC"
2015,1,"ufrVoPGSRksC"
2016,1,"ufrVoPGSRksC"
2009,2,"roLk4NBRz8UC"
2010,1,"roLk4NBRz8UC"
2011,1,"roLk4NBRz8UC"
2012,2,"roLk4NBRz8UC"
2013,0,"roLk4NBRz8UC"
2014,0,"roLk4NBRz8UC"
2015,0,"roLk4NBRz8UC"
2016,0,"roLk4NBRz8UC"
2017,0,"roLk4NBRz8UC"
2018,1,"roLk4NBRz8UC"
2010,2,"d3xjRt2Mi1YC"
2011,0,"d3xjRt2Mi1YC"
2012,1,"d3xjRt2Mi1YC"
2013,1,"d3xjRt2Mi1YC"
2014,0,"d3xjRt2Mi1YC"
2015,2,"d3xjRt2Mi1YC"
2016,1,"d3xjRt2Mi1YC"
2009,2,"GnPB-g6toBAC"
2010,0,"GnPB-g6toBAC"
2011,0,"GnPB-g6toBAC"
2012,0,"GnPB-g6toBAC"
2013,0,"GnPB-g6toBAC"
2014,1,"GnPB-g6toBAC"
2015,1,"GnPB-g6toBAC"
2016,0,"GnPB-g6toBAC"
2017,1,"GnPB-g6toBAC"
2018,0,"GnPB-g6toBAC"
2019,0,"GnPB-g6toBAC"
2020,0,"GnPB-g6toBAC"
2021,0,"GnPB-g6toBAC"
2022,1,"GnPB-g6toBAC"
2023,1,"GnPB-g6toBAC"
2005,2,"WF5omc3nYNoC"
2006,0,"WF5omc3nYNoC"
2007,1,"WF5omc3nYNoC"
2008,1,"WF5omc3nYNoC"
2009,2,"WF5omc3nYNoC"
2010,0,"WF5omc3nYNoC"
2011,0,"WF5omc3nYNoC"
2012,0,"WF5omc3nYNoC"
2013,0,"WF5omc3nYNoC"
2014,0,"WF5omc3nYNoC"
2015,1,"WF5omc3nYNoC"
2023,1,"9w9GTvUEN2YC"
2024,0,"9w9GTvUEN2YC"
2025,1,"9w9GTvUEN2YC"
2026,4,"9w9GTvUEN2YC"
2022,2,"Amrzk_ktLr0C"
2023,0,"Amrzk_ktLr0C"
2024,1,"Amrzk_ktLr0C"
2025,3,"Amrzk_ktLr0C"
2015,3,"OU6Ihb5iCvQC"
2016,1,"OU6Ihb5iCvQC"
2017,0,"OU6Ihb5iCvQC"
2018,0,"OU6Ihb5iCvQC"
2019,0,"OU6Ihb5iCvQC"
2020,0,"OU6Ihb5iCvQC"
2021,0,"OU6Ihb5iCvQC"
2022,0,"OU6Ihb5iCvQC"
2023,0,"OU6Ihb5iCvQC"
2024,0,"OU6Ihb5iCvQC"
2025,1,"OU6Ihb5iCvQC"
2011,1,"iH-uZ7U-co4C"
2012,0,"iH-uZ7U-co4C"
2013,0,"iH-uZ7U-co4C"
2014,0,"iH-uZ7U-co4C"
2015,0,"iH-uZ7U-co4C"
2016,0,"iH-uZ7U-co4C"
2017,1,"iH-uZ7U-co4C"
2018,1,"iH-uZ7U-co4C"
2019,0,"iH-uZ7U-co4C"
2020,0,"iH-uZ7U-co4C"
2021,0,"iH-uZ7U-co4C"
2022,0,"iH-uZ7U-co4C"
2023,0,"iH-uZ7U-co4C"
2024,0,"iH-uZ7U-co4C"
2025,2,"iH-uZ7U-co4C"
2005,1,"xckinRaLORAC"
2006,0,"xckinRaLORAC"
2007,0,"xckinRaLORAC"
2008,2,"xckinRaLORAC"
2009,0,"xckinRaLORAC"
2010,0,"xckinRaLORAC"
2011,0,"xckinRaLORAC"
2012,0,"xckinRaLORAC"
2013,1,"xckinRaLORAC"
2014,0,"xckinRaLORAC"
2015,0,"xckinRaLORAC"
2016,0,"xckinRaLORAC"
2017,0,"xckinRaLORAC"
2018,0,"xckinRaLORAC"
2019,0,"xckinRaLORAC"
2020,1,"xckinRaLORAC"
2023,2,"pwA0zy_liR0C"
2024,1,"pwA0zy_liR0C"
2025,0,"pwA0zy_liR0C"
2026,1,"pwA0zy_liR0C"
2017,1,"G887dSk7Sz8C"
2018,0,"G887dSk7Sz8C"
2019,0,"G887dSk7Sz8C"
2020,1,"G887dSk7Sz8C"
2021,1,"G887dSk7Sz8C"
2022,0,"G887dSk7Sz8C"
2023,0,"G887dSk7Sz8C"
2024,0,"G887dSk7Sz8C"
2025,1,"G887dSk7Sz8C"
2017,1,"dfsIfKJdRG4C"
2018,0,"dfsIfKJdRG4C"
2019,0,"dfsIfKJdRG4C"
2020,1,"dfsIfKJdRG4C"
2021,1,"dfsIfKJdRG4C"
2022,1,"dfsIfKJdRG4C"
2009,1,"70eg2SAEIzsC"
2010,0,"70eg2SAEIzsC"
2011,0,"70eg2SAEIzsC"
2012,0,"70eg2SAEIzsC"
2013,0,"70eg2SAEIzsC"
2014,0,"70eg2SAEIzsC"
2015,0,"70eg2SAEIzsC"
2016,0,"70eg2SAEIzsC"
2017,0,"70eg2SAEIzsC"
2018,0,"70eg2SAEIzsC"
2019,0,"70eg2SAEIzsC"
2020,1,"70eg2SAEIzsC"
2021,0,"70eg2SAEIzsC"
2022,0,"70eg2SAEIzsC"
2023,0,"70eg2SAEIzsC"
2024,2,"70eg2SAEIzsC"
2008,1,"_kc_bZDykSQC"
2009,0,"_kc_bZDykSQC"
2010,0,"_kc_bZDykSQC"
2011,0,"_kc_bZDykSQC"
2012,0,"_kc_bZDykSQC"
2013,0,"_kc_bZDykSQC"
2014,0,"_kc_bZDykSQC"
2015,0,"_kc_bZDykSQC"
2016,0,"_kc_bZDykSQC"
2017,0,"_kc_bZDykSQC"
2018,1,"_kc_bZDykSQC"
2019,0,"_kc_bZDykSQC"
2020,0,"_kc_bZDykSQC"
2021,2,"_kc_bZDykSQC"
2005,1,"wH03y5nBhxsC"
2006,0,"wH03y5nBhxsC"
2007,0,"wH03y5nBhxsC"
2008,0,"wH03y5nBhxsC"
2009,1,"wH03y5nBhxsC"
2010,0,"wH03y5nBhxsC"
2011,0,"wH03y5nBhxsC"
2012,0,"wH03y5nBhxsC"
2013,1,"wH03y5nBhxsC"
2014,0,"wH03y5nBhxsC"
2015,0,"wH03y5nBhxsC"
2016,1,"wH03y5nBhxsC"
2025,1,"Iq19BMNozs4C"
2026,2,"Iq19BMNozs4C"
2025,3,"Jxw8hHINxX0C"
2025,1,"5-bGDoUgDrYC"
2026,2,"5-bGDoUgDrYC"
2002,2,"MXK_kJrjxJIC"
2003,0,"MXK_kJrjxJIC"
2004,0,"MXK_kJrjxJIC"
2005,1,"MXK_kJrjxJIC"
2004,1,"xUD2GqFNeDMC"
2005,0,"xUD2GqFNeDMC"
2006,0,"xUD2GqFNeDMC"
2007,1,"xUD2GqFNeDMC"
2008,0,"xUD2GqFNeDMC"
2009,0,"xUD2GqFNeDMC"
2010,0,"xUD2GqFNeDMC"
2011,1,"xUD2GqFNeDMC"
2002,2,"RYcK_YlVTxYC"
2003,0,"RYcK_YlVTxYC"
2004,0,"RYcK_YlVTxYC"
2005,0,"RYcK_YlVTxYC"
2006,0,"RYcK_YlVTxYC"
2007,1,"RYcK_YlVTxYC"
2009,1,"m8MyhXdlT-4C"
2010,1,"m8MyhXdlT-4C"
2005,1,"3fE2CSJIrl8C"
2006,0,"3fE2CSJIrl8C"
2007,0,"3fE2CSJIrl8C"
2008,0,"3fE2CSJIrl8C"
2009,1,"3fE2CSJIrl8C"
2021,1,"mnAcAzq93VMC"
2016,1,"j6V8Syvup0UC"
2013,1,"1YatL4jblGcC"
